Sport,волейбол,,,,,,,,,,,
Tournament,формат 4*4 игрока,,,,,,,,,,,
Headers,N,Команда,Состав команды,,,,,,победы,поражения,очки,место
Row,1,Сычёво,"Мовчан Максим (c)
Евстафьева Юля
Евстафьев Артём
Евстафьев Кирилл",,3-0,2-1,,,2,0,5,1
Row,2,Волоколамск,"Понурко Александр (с)
Алексеев Михаил
Никифоров Андрей
Макаров Николай",0-3,,2-1,,,1,1,2,2
Row,3,Новопетровское,"Петров Константин (с)
Петров Вячеслав
Китанин Валерий
Клейн Юрий",1-2,1-2,,,,0,2,0,3
Tournament,формат 2*2 игрока,,,,,,,,,,,
Headers,N,Команда,Состав команды,,,,,,победы,поражения,очки,место
Row,1,Москва,"Ивачёв Андрей (с)
Ивачёв Никита
Ивачёв Тимофей",,,3-0,,,1,0,3,1
Row,2,Москва,"Евстафьев Артём (с)
Евстафьев Кирилл",,0-3,,,,0,1,0,2
Row,3,Сычёво,"Петухов Валерий (с)
Смирнов Антон",,,,,,,,,
Row,4,Новопетровское,"Монин Василий (с)
Харитонов Иван",,,,,,,,,
Row,5,Сычёво,"Ивлев Денис (с)
Гетманов Александр",,,,,,,,,
Sport,футбол,,,,,,,,,,,
Tournament,дети,,,,,,,,,,,
Headers,N,Команда,Состав команды,,,,,,победы,поражения,очки,место
Row,1,Покровск,КК ВВ СС ДД,,,2-0,,,1,0,3,1
Row,2,Волоколамск,ПП АА НН СС,,0-2,,,,0,1,0,2
Tournament,взрослые,,,,,,,,,,,
Headers,N,Команда,Состав команды,,,,,,победы,поражения,очки,место
Row,1,Покровск,КК ВВ СС ДД,,,2-0,,,1,0,3,1
Row,2,Волоколамск,ПП АА НН СС,,0-2,,,,0,1,0,2
